RESULTS FOR CHI-2 WITH DIFFERENT SINGLE-PARTICLE ENERGY
I_0     V     I     E_th     E_exp     CHI2
******************************
              e=              -0
*******TSD1********
47.6 5.61 8.5 0.0953976 0.1966 0.100982
47.6 5.61 10.5 0.270636 0.4597 0.100982
47.6 5.61 12.5 0.525743 0.7746 0.100982
47.6 5.61 14.5 0.860742 1.1609 0.100982
47.6 5.61 16.5 1.27565 1.6112 0.100982
47.6 5.61 18.5 1.77049 2.1265 0.100982
47.6 5.61 20.5 2.34526 2.7051 0.100982
47.6 5.61 22.5 2.99999 3.3441 0.100982
47.6 5.61 24.5 3.73468 4.0411 0.100982
47.6 5.61 26.5 4.54934 4.7937 0.100982
47.6 5.61 28.5 5.44398 5.5992 0.100982
47.6 5.61 30.5 6.4186 6.457 0.100982
47.6 5.61 32.5 7.47322 7.3667 0.100982
47.6 5.61 34.5 8.60783 8.3293 0.100982
47.6 5.61 36.5 9.82244 9.3458 0.100982
47.6 5.61 38.5 11.1171 10.4169 0.100982
47.6 5.61 40.5 12.4917 11.5431 0.100982
47.6 5.61 42.5 13.9463 12.7224 0.100982
47.6 5.61 44.5 15.481 13.9491 0.100982
47.6 5.61 46.5 17.0956 15.2181 0.100982
47.6 5.61 48.5 18.7903 16.5221 0.100982
*******TSD2********
47.6 5.61 13.5 0.703768 1.3394 0.100982
47.6 5.61 15.5 1.04634 1.7467 0.100982
47.6 5.61 17.5 1.46875 2.2184 0.100982
47.6 5.61 19.5 1.97105 2.7527 0.100982
47.6 5.61 21.5 2.55326 3.3484 0.100982
47.6 5.61 23.5 3.21542 4.003 0.100982
47.6 5.61 25.5 3.95753 4.7143 0.100982
47.6 5.61 27.5 4.77962 5.4805 0.100982
47.6 5.61 29.5 5.6817 6.3004 0.100982
47.6 5.61 31.5 6.66379 7.1733 0.100982
47.6 5.61 33.5 7.72589 8.0998 0.100982
47.6 5.61 35.5 8.86801 9.08 0.100982
47.6 5.61 37.5 10.0902 10.1147 0.100982
47.6 5.61 39.5 11.3924 11.2036 0.100982
47.6 5.61 41.5 12.7746 12.3466 0.100982
47.6 5.61 43.5 14.2369 13.5441 0.100982
47.6 5.61 45.5 15.7792 14.7911 0.100982
*******TSD3********
47.6 5.61 16.5 1.23193 2.1237 0.100982
47.6 5.61 18.5 1.66185 2.6293 0.100982
47.6 5.61 20.5 2.17162 3.1973 0.100982
47.6 5.61 22.5 2.76127 3.8243 0.100982
47.6 5.61 24.5 3.43084 4.5094 0.100982
47.6 5.61 26.5 4.18038 5.2506 0.100982
47.6 5.61 28.5 5.0099 6.0465 0.100982
47.6 5.61 30.5 5.91943 6.8963 0.100982
47.6 5.61 32.5 6.90897 7.7988 0.100982
